x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
51.43;0.561485;0.798445;0.00282955;0.003397815;-7.83465;-3.55405;-4.399038455;-0.000277812;0.448314891
51.72;0.561395;0.797895;0.00216912;0.00381564;-7.8369;-3.5537;-4.399596476;4.03145E-05;0.447934264
52.02;0.56125;0.798965;0.00207481;0.00450993;-7.84005;-3.55495;-4.400228063;-0.00041625;0.448419106
52.32;0.561275;0.798605;0.00267032;0.003926988;-7.8391;-3.5539;-4.399890853;0.000485775;0.448237021
52.61;0.561205;0.79818;0.002652435;0.00174175;-7.8407;-3.5558;-4.400240044;-0.000397865;0.447942607
52.91;0.56109;0.79822;0.002174294;0.002401403;-7.8431;-3.55445;-4.400684979;-0.000620335;0.44787326
53.21;0.561355;0.798575;0.00255401;0.003611598;-7.8387;-3.5542;-4.400293439;0.000566875;0.448284069
53.5;0.561105;0.79856;0.002629105;0.00246533;-7.8417;-3.5578;-4.400017079;-0.000256203;0.448076009
53.8;0.561155;0.798295;0.002211205;0.00521181;-7.8416;-3.5551;-4.400353048;0.00009426;0.447967231
54.09;0.561225;0.798715;0.00247727;0.00463406;-7.84135;-3.55565;-4.400761654;-0.000477605;0.448258826
54.39;0.56131;0.798215;0.00271999;0.00127059;-7.8397;-3.5564;-4.400502007;0.000444809;0.448046062
54.69;0.561125;0.798665;0.00265417;0.003863802;-7.84195;-3.5543;-4.400314194;-0.000395185;0.448150898
54.98;0.56124;0.79836;0.00226398;0.002291955;-7.84075;-3.55545;-4.40054253;-0.000157795;0.448071566
55.28;0.5614;0.798785;0.00243497;0.002507075;-7.83815;-3.5552;-4.40033741;0.000117819;0.448437899
55.58;0.56131;0.79797;0.00247333;-0.00061332;-7.8397;-3.55755;-4.400502007;-0.000261515;0.447908541
55.87;0.56106;0.798605;0.00229751;-0.000366598;-7.8439;-3.5587;-4.400898534;-0.000159418;0.448065321
56.17;0.56104;0.798645;0.002585645;0.001775523;-7.84425;-3.5582;-4.40093802;0.000335015;0.448071791
56.47;0.5612;0.798145;0.002543809;0.000640823;-7.8412;-3.55535;-4.40048144;-0.000568468;0.447918974
56.76;0.561105;0.798355;0.002664655;0.002753193;-7.84295;-3.5563;-4.40071846;0.00034595;0.447960982
57.06;0.56132;0.79899;0.0026327;0.00319272;-7.84045;-3.55565;-4.401001394;0.000137935;0.448489067
57.35;0.561125;0.798485;0.002291592;0.00467245;-7.8433;-3.55605;-4.401071713;-0.000521495;0.448049896
57.65;0.561225;0.79794;0.002514305;0.002783475;-7.84135;-3.5552;-4.400761654;0.000164033;0.447823877
57.95;0.561165;0.799465;0.002514535;0.00474666;-7.84195;-3.5544;-4.400627872;0.000210056;0.448631777
58.24;0.561235;0.79803;0.002056885;0.004706398;-7.84065;-3.55665;-4.400447203;-0.000328491;0.447882367
58.54;0.56128;0.79813;0.00275143;0.000614527;-7.84035;-3.5568;-4.400631648;4.40635E-05;0.447974406
58.84;0.561345;0.798675;0.002589965;0.001987063;-7.8392;-3.55585;-4.400495724;0.00009877;0.448332218
59.13;0.561355;0.798605;0.00211034;0.002809545;-7.8383;-3.55575;-4.400068897;0.000261386;0.44830091
59.43;0.561505;0.797965;0.002254815;0.005260325;-7.8368;-3.55435;-4.400402384;-0.00117146;0.448061337
59.73;0.56136;0.798635;0.003122935;0.005683061;-7.8391;-3.5538;-4.400557176;0.000310651;0.448321744
60.02;0.56125;0.79845;0.002290289;0.00323702;-7.84035;-3.5553;-4.400396438;0.000593559;0.448130063
60.32;0.56112;0.798385;0.002267705;0.003311438;-7.843;-3.555;-4.40086416;-0.000770152;0.447989791
60.62;0.561035;0.79877;0.00248514;0.001895013;-7.8451;-3.55695;-4.401375679;-0.00013302;0.448137927
60.91;0.561185;0.79895;0.00250992;0.004830021;-7.84285;-3.5553;-4.401289777;-0.000025652;0.448358756
61.21;0.561045;0.79819;0.0021732;0.003039043;-7.84495;-3.5565;-4.401369973;0.000725305;0.447820509
61.5;0.561005;0.79846;0.002135955;0.001081348;-7.84545;-3.55835;-4.401336677;-0.00048671;0.447940052
61.8;0.561195;0.7989;0.002784245;0.002791993;-7.84205;-3.5558;-4.40091925;-0.000357816;0.448338686
62.1;0.561195;0.798125;0.00248007;0.000356443;-7.8424;-3.5585;-4.401115668;0.000384175;0.447903759
62.39;0.560995;0.798415;0.002038799;0.00031253;-7.84465;-3.55705;-4.400809427;0.00020611;0.447906823
62.69;0.56109;0.798855;0.002541125;0.00270862;-7.8433;-3.55745;-4.400797197;-0.000700327;0.448229552
62.99;0.56121;0.798085;0.002494285;-4.888E-05;-7.84175;-3.55735;-4.400868518;0.000948703;0.447893283
63.28;0.560975;0.79838;0.0019259;0.000532294;-7.8454;-3.5581;-4.401073265;-0.000762703;0.447871221
63.58;0.561045;0.798775;0.002794355;0.003037705;-7.8447;-3.55665;-4.401229712;-0.00063218;0.44814872
63.88;0.561235;0.798535;0.002610265;0.002419353;-7.84235;-3.55665;-4.401401302;0.000823185;0.448165791
64.17;0.561005;0.798565;0.0019607;0.003735108;-7.8457;-3.5576;-4.401476929;0.000184491;0.447998958
64.47;0.561035;0.79861;0.002324;0.0036883;-7.84535;-3.55765;-4.401515937;-0.00005166;0.448048161
64.77;0.561035;0.79891;0.00279685;0.002540509;-7.8454;-3.5574;-4.401543989;-0.000595345;0.448216472
