x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
22.38;0.63744;0.0142885;0.0080903;0.008127575;-0.24081;1.37;-0.153501926;1.3848E-06;0.009108061
22.68;0.63674;0.0142665;0.0080805;0.0080684;-0.24262;1.36715;-0.154485859;-9.3593E-06;0.009084051
22.97;0.63667;0.0142725;0.00806475;0.0080133;-0.24443;1.36435;-0.155621248;-9.08325E-06;0.009086873
23.27;0.638895;0.014223;0.00804875;0.008049825;-0.24256;1.3716;-0.154970371;3.07295E-06;0.009087004
23.56;0.639405;0.0141615;0.00804925;0.0080163;-0.242665;1.3723;-0.155161214;-1.52392E-05;0.009054934
23.86;0.63748;0.014233;0.00804455;0.008018425;-0.243195;1.3676;-0.155031949;0.000004361;0.009073253
24.16;0.63893;0.014196;0.0080562;0.00803355;-0.241985;1.37285;-0.154611476;-1.08035E-06;0.00907025
24.45;0.641085;0.0140595;0.0080607;0.007931775;-0.24071;1.37675;-0.15431557;9.34875E-07;0.009013335
24.75;0.63919;0.0140945;0.0080629;0.00798;-0.238895;1.375;-0.152699295;-1.30325E-05;0.009009063
25.05;0.639215;0.0141175;0.0080639;0.00801125;-0.235565;1.379;-0.150576681;-1.79405E-05;0.009024118
25.34;0.641225;0.014065;0.0080633;0.00803125;-0.234145;1.38485;-0.150139628;9.80855E-06;0.00901883
25.64;0.64036;0.0140615;0.0080597;0.0080068;-0.23459;1.38195;-0.150222052;-1.00026E-05;0.009004422
25.94;0.64081;0.0141425;0.0080644;0.008067175;-0.236275;1.38195;-0.151407383;-1.51166E-05;0.009062655
26.23;0.63833;0.01421;0.00806365;0.008058625;-0.236605;1.37665;-0.15103207;1.40009E-05;0.009070669
26.53;0.640945;0.014246;0.0080499;0.008160575;-0.23641;1.38225;-0.151525807;-0.000012314;0.009130902
26.82;0.63892;0.0141925;0.00804365;0.00804565;-0.24186;1.37245;-0.154529191;1.81228E-05;0.009067872
27.12;0.63859;0.0142455;0.00803785;0.00808635;-0.23957;1.3748;-0.152987006;-1.79485E-05;0.009097034
27.42;0.637865;0.014324;0.0080353;0.008134975;-0.23987;1.37125;-0.153004678;-1.75447E-05;0.009136778
27.71;0.638985;0.0143395;0.008046;0.008120775;-0.242945;1.3721;-0.155238211;1.03505E-05;0.009162725
28.01;0.63723;0.0143055;0.0080458;0.008076575;-0.24324;1.3676;-0.154999825;-5.88985E-06;0.009115894
28.31;0.640525;0.0142585;0.00804785;0.008110525;-0.240415;1.3773;-0.153991818;-4.42105E-05;0.009132926
28.6;0.642855;0.0142265;0.00804415;0.008134575;-0.240055;1.3828;-0.154320557;2.2426E-05;0.009145577
28.9;0.64323;0.014193;0.0080605;0.008122275;-0.239895;1.3827;-0.154307661;-8.26965E-06;0.009129363
29.2;0.645995;0.0141565;0.00807135;0.008162825;-0.23789;1.39045;-0.153675751;-3.0442E-06;0.009145028
29.49;0.643035;0.0141505;0.008073;0.008123575;-0.236355;1.3865;-0.151984537;-0.000000923;0.009099267
29.79;0.64652;0.0141525;0.0080588;0.008178225;-0.23599;1.3946;-0.152572255;-1.53475E-05;0.009149874
30.09;0.645285;0.0141585;0.0080603;0.008192125;-0.23674;1.3919;-0.152764771;0.000002717;0.009136268
30.38;0.643965;0.014204;0.0080705;0.0082189;-0.23583;1.3884;-0.151866266;-1.86827E-05;0.009146879
30.68;0.64367;0.0141665;0.00805425;0.008170475;-0.237895;1.3866;-0.153125875;1.38281E-06;0.009118551
30.97;0.643715;0.0141185;0.0080527;0.00811495;-0.23699;1.388;-0.152554018;-1.53135E-05;0.00908829
31.27;0.641035;0.014201;0.0080622;0.008119325;-0.24031;1.37865;-0.154047121;-1.05275E-05;0.009103338
31.57;0.64018;0.01428;0.00806425;0.008152725;-0.240265;1.37705;-0.153812848;2.00928E-05;0.00914177
31.86;0.641865;0.014253;0.00805905;0.00815485;-0.24114;1.38025;-0.154779326;-4.7665E-06;0.009148502
32.16;0.642225;0.0142835;0.0080405;0.0082037;-0.242105;1.38065;-0.155485884;-1.5164E-06;0.009173221
32.46;0.642;0.014239;0.00803615;0.008115925;-0.24134;1.3809;-0.15494028;-0.000029539;0.009141438
32.75;0.642265;0.0141755;0.0080465;0.008104925;-0.241285;1.3805;-0.154968911;0.000013236;0.009104428
33.05;0.641835;0.0142165;0.0080489;0.0081121;-0.24386;1.37645;-0.156517883;-2.29002E-05;0.009124647
33.35;0.64258;0.0141325;0.00805715;0.00805375;-0.242905;1.38025;-0.156085895;-0.000009723;0.009081262
33.64;0.643325;0.014076;0.00806815;0.0079971;-0.24413;1.3807;-0.157054932;-8.02255E-06;0.009055443
33.94;0.64391;0.01412;0.0080738;0.008051175;-0.24397;1.37995;-0.157094723;6.50055E-06;0.009092009
34.24;0.641665;0.0142595;0.00806215;0.00810495;-0.24394;1.37655;-0.15652776;2.87545E-06;0.009149822
34.53;0.64217;0.0141635;0.00805385;0.008040275;-0.24333;1.37765;-0.156259226;-1.4829E-05;0.009095375
34.83;0.6415;0.014232;0.0080404;0.0081105;-0.244;1.3758;-0.156526;-6.7525E-06;0.009129828
35.12;0.64096;0.014305;0.0080398;0.00813865;-0.24385;1.37585;-0.156298096;-1.27599E-05;0.009168933
35.42;0.645365;0.0141855;0.0080621;0.00811335;-0.24285;1.3848;-0.15672689;-1.28175E-05;0.009154825
35.72;0.64743;0.0141065;0.00806895;0.008147675;-0.24239;1.39075;-0.156930558;0.000008792;0.009132971
36.01;0.64498;0.0141085;0.0080727;0.008091075;-0.2433;1.38335;-0.156923634;-0.000004474;0.0090997
36.31;0.644775;0.014119;0.0080842;0.008091025;-0.242885;1.38495;-0.156606176;-0.000025618;0.009103578
36.61;0.647585;0.014083;0.0080911;0.008117;-0.238455;1.3928;-0.154419881;-0.000009091;0.00911994
36.9;0.645445;0.014119;0.0080901;0.0081426;-0.23624;1.39165;-0.152479927;-3.68E-07;0.009113038
37.2;0.64492;0.014118;0.00809145;0.00811605;-0.23778;1.39;-0.153349078;1.22804E-05;0.009104981
37.5;0.64499;0.0141235;0.0080827;0.008149975;-0.239815;1.38615;-0.154678277;-2.86515E-06;0.009109516
37.79;0.644465;0.014147;0.0080858;0.00817345;-0.233965;1.39055;-0.150782254;-0.000014501;0.009117246
38.09;0.642435;0.014086;0.0080797;0.0081028;-0.233565;1.38755;-0.150050331;5.8725E-07;0.009049339
38.38;0.642425;0.014071;0.00807975;0.008064725;-0.23281;1.3886;-0.149562964;5.0395E-06;0.009039562
38.68;0.642045;0.013996;0.00808595;0.008014625;-0.232685;1.3873;-0.149394241;-1.67393E-05;0.008986062
38.98;0.642135;0.014017;0.00809085;0.0080685;-0.23162;1.3879;-0.148731309;0.000024515;0.009000806
39.27;0.64691;0.013928;0.00809755;0.0080678;-0.23092;1.4006;-0.149384457;-9.0533E-06;0.009010162
39.57;0.642675;0.0140425;0.00809805;0.0080856;-0.235095;1.38735;-0.151089679;-1.90979E-05;0.009024764
39.87;0.641005;0.01396;0.00809795;0.007933375;-0.23726;1.38135;-0.152084846;-0.000004825;0.00894843
40.16;0.64164;0.013938;0.00809785;0.00795185;-0.235485;1.3828;-0.151096595;0.000002501;0.008943178
40.46;0.64135;0.014004;0.00808665;0.00798275;-0.236605;1.38135;-0.151746617;0.000013528;0.008981465
40.76;0.6424;0.0140125;0.00808235;0.008014075;-0.237235;1.3845;-0.152399764;-2.58558E-05;0.00900163
41.05;0.640985;0.0140765;0.00808825;0.008051875;-0.235225;1.38195;-0.150775697;-7.1395E-06;0.009022825
41.35;0.640185;0.014078;0.00806835;0.007983025;-0.23606;1.3797;-0.151122071;1.14371E-05;0.009012524
41.65;0.63953;0.0140885;0.00804725;0.0079717;-0.239575;1.37415;-0.1532154;-1.56916E-05;0.009010018
41.94;0.63972;0.01407;0.0080581;0.007944625;-0.24054;1.3739;-0.153878249;-2.00176E-06;0.00900086
42.24;0.64202;0.014166;0.0080551;0.008076475;-0.241665;1.3768;-0.155153763;7.11985E-06;0.009094855
42.53;0.642365;0.0142545;0.00805935;0.008106975;-0.25344;1.3645;-0.162800986;-3.79298E-05;0.009156592
42.83;0.641885;0.014514;0.0080492;0.008165575;-0.27099;1.34395;-0.173944416;-5.9755E-06;0.009316319
43.13;0.64393;0.0149725;0.00804025;0.0083626;-0.312205;1.30315;-0.201038166;-9.4007E-06;0.009641242
43.42;0.63942;0.0159935;0.0080348;0.0085532;-0.39891;1.2016;-0.255071032;-9.615E-07;0.010226564
43.72;0.641115;0.017661;0.0080158;0.008882025;-0.55474;1.045245;-0.355652135;1.10415E-05;0.011322732
44.02;0.63981;0.0211115;0.00798855;0.00939605;-0.816995;0.782135;-0.522721571;-2.06855E-05;0.013507349
44.31;0.641465;0.0274605;0.0079563;0.0099996;-1.180875;0.435685;-0.757489982;-6.91764E-05;0.01761495
44.61;0.64199;0.0385355;0.007837;0.009973775;-1.61965;0.03674655;-1.039799104;8.86303E-05;0.024739406
44.91;0.641375;0.0571685;0.0076618;0.008666863;-2.0735;-0.36112;-1.329891063;-3.6601E-05;0.036666447
45.2;0.642525;0.086101;0.0075222;0.004524752;-2.51145;-0.720265;-1.613669411;-0.000037536;0.055322045
45.5;0.642505;0.127765;0.00747605;-0.00493715;-2.92215;-1.035595;-1.877495986;8.91035E-05;0.082089651
45.8;0.641755;0.183975;0.007497905;-0.020710575;-3.3093;-1.31905;-2.123759822;-1.84311E-05;0.118066876
46.09;0.64162;0.25435;0.00767411;-0.04302075;-3.6759;-1.5712;-2.358530958;8.80935E-05;0.163196047
46.39;0.64206;0.33448;0.007855737;-0.070489;-4.02855;-1.80125;-2.586570813;-0.000296223;0.214756229
46.68;0.642075;0.41719;0.00753705;-0.0984485;-4.37315;-2.01565;-2.807890286;0.000484;0.267867269
46.98;0.642065;0.49787;0.0075415;-0.1211075;-4.70945;-2.21685;-3.023773014;0.000119465;0.319664902
47.28;0.641905;0.568915;0.00792865;-0.1321275;-5.03055;-2.40195;-3.229135198;-7.53375E-05;0.365189383
47.57;0.64164;0.62667;0.0079936;-0.13254;-5.3251;-2.5664;-3.416797164;-0.000612775;0.402096539
47.87;0.642015;0.67104;0.00778;-0.116905;-5.58285;-2.70715;-3.584273443;0.000037524;0.430817746
48.17;0.64192;0.70204;0.00768855;-0.09532675;-5.80225;-2.823;-3.72458032;0.00024095;0.450653517
48.46;0.6422;0.72288;0.00808275;-0.068605;-5.97195;-2.9107;-3.83518629;0.00003178;0.464233536
48.76;0.641995;0.736365;0.00790125;-0.0477915;-6.10495;-2.9794;-3.919347375;-0.000107735;0.472742648
49.06;0.64186;0.74417;0.0075932;-0.02917075;-6.19865;-3.0259;-3.978665489;0.00007549;0.477652956
49.35;0.641775;0.747975;0.0082782;-0.013352755;-6.25975;-3.0568;-4.017351056;0.000478531;0.480031656
49.65;0.641635;0.75159;0.00839385;-0.00486161;-6.3014;-3.0786;-4.043198789;-0.000326969;0.48224645
49.94;0.641585;0.752825;0.0077019;0.000208477;-6.3254;-3.0898;-4.058281759;0.000216851;0.483001228
50.24;0.641635;0.752705;0.0078971;0.002720315;-6.33765;-3.0958;-4.066458058;5.912E-06;0.482961873
50.54;0.64152;0.75339;0.0081336;0.002396223;-6.34705;-3.1026;-4.071759516;0.000339455;0.483314753
50.83;0.64162;0.7545;0.0075702;0.004782495;-6.35045;-3.10315;-4.074575729;-0.000654675;0.48410229
51.13;0.641615;0.753525;0.00771715;0.005308455;-6.3522;-3.10425;-4.075666803;-9.5514E-05;0.483472943
51.43;0.64168;0.753475;0.0079328;0.005530198;-6.3525;-3.1048;-4.0762722;0.00074236;0.483489838
51.72;0.641555;0.75445;0.00800955;0.004674655;-6.3546;-3.1052;-4.076825403;-0.000353209;0.48402117
52.02;0.64152;0.754095;0.00731215;0.005929218;-6.35545;-3.10545;-4.077148284;0.00049109;0.483767024
52.32;0.64155;0.753665;0.0078577;0.006467683;-6.35525;-3.10435;-4.077210638;-0.00074968;0.483513781
52.61;0.64148;0.75439;0.00797;0.007554836;-6.35635;-3.1047;-4.077471398;-0.00032265;0.483926097
52.91;0.641555;0.754025;0.0076244;0.008024425;-6.35575;-3.10455;-4.077563191;0.001342326;0.483748509
53.21;0.64138;0.754195;0.0078764;0.007258778;-6.3576;-3.10555;-4.077637488;-0.000624582;0.483725589
53.5;0.641735;0.75389;0.0080297;0.007714598;-6.3544;-3.10405;-4.077840884;8.62135E-06;0.483797599
53.8;0.641605;0.75423;0.00754295;0.0111995;-6.35515;-3.1041;-4.077496016;-0.000277043;0.483917739
54.09;0.6417;0.75429;0.00749015;0.009114888;-6.35375;-3.10415;-4.077201375;0.000305508;0.484027893
54.39;0.64174;0.75365;0.00799535;0.00468086;-6.35305;-3.104;-4.077006307;0.000460903;0.483647351
54.69;0.6417;0.75356;0.0078967;0.006010395;-6.3536;-3.10555;-4.07710512;-0.000503012;0.483559452
54.98;0.64149;0.754605;0.0077682;0.007065959;-6.3556;-3.1057;-4.077053844;0.000223579;0.484071561
55.28;0.641595;0.75373;0.00811295;0.007958293;-6.3545;-3.1037;-4.077015428;1.43385E-05;0.483589399
55.58;0.641715;0.753445;0.0079213;0.008139893;-6.35375;-3.10305;-4.077296681;-0.000421075;0.483496958
55.87;0.64168;0.754855;0.00731565;0.008959627;-6.35455;-3.1049;-4.077587644;0.000250355;0.484375356
56.17;0.64159;0.754045;0.0077462;0.010385;-6.3553;-3.1038;-4.077496927;0.00057999;0.483787732
56.47;0.641755;0.753735;0.00768875;0.00785664;-6.35385;-3.1036;-4.077615007;-0.00015161;0.483713205
56.76;0.641635;0.75422;0.00750695;0.007415588;-6.35505;-3.1044;-4.077622507;-0.000057925;0.48393395
57.06;0.641615;0.75431;0.00743235;0.00750264;-6.35515;-3.1046;-4.077559567;-0.00046625;0.483976611
57.35;0.64163;0.75334;0.0079873;0.006875694;-6.3548;-3.1045;-4.077430324;0.000172195;0.483365544
57.65;0.641565;0.754295;0.00779575;0.01063015;-6.35555;-3.10395;-4.077498436;0.000143282;0.483929272
57.95;0.64159;0.75473;0.00764985;0.009927293;-6.3551;-3.10465;-4.077368609;7.6782E-05;0.484227221
58.24;0.64188;0.75355;0.0078137;0.008417853;-6.3522;-3.1029;-4.077350136;0.000171331;0.483688674
58.54;0.641715;0.753905;0.00813995;0.00645026;-6.35445;-3.1053;-4.077745882;-0.00027878;0.483792147
58.84;0.641795;0.754355;0.00784055;0.008146878;-6.3533;-3.10385;-4.077516174;4.61071E-05;0.484141267
59.13;0.641705;0.754115;0.00780435;0.010338905;-6.3548;-3.10355;-4.077906934;0.000555937;0.483919366
59.43;0.64174;0.754075;0.00798195;0.009706753;-6.3545;-3.10365;-4.07793683;-0.000544316;0.483920091
59.73;0.64149;0.75398;0.00774485;0.007077114;-6.3569;-3.1049;-4.077887781;0.00018566;0.48367063
60.02;0.641345;0.754315;0.0078689;0.009034255;-6.35885;-3.10615;-4.078216653;-7.89815E-05;0.483776154
60.32;0.641655;0.75415;0.00772865;0.007308033;-6.3555;-3.1046;-4.078038353;0.000326315;0.483904118
60.62;0.64145;0.754285;0.0078213;0.008853006;-6.35735;-3.1054;-4.077922158;-0.000270212;0.483836113
60.91;0.641705;0.753775;0.00778885;0.008130373;-6.3548;-3.104;-4.077906934;0.000551635;0.483701186
61.21;0.64142;0.754405;0.00778815;0.00808207;-6.35795;-3.1063;-4.078116289;1.31265E-05;0.483890455
61.5;0.64144;0.753845;0.0077848;0.007605948;-6.358;-3.10585;-4.07827552;-0.00051003;0.483546337
61.8;0.6413;0.75424;0.00775845;0.007901868;-6.35975;-3.106;-4.078507675;0.00002793;0.483694112
62.1;0.64138;0.754605;0.00805335;0.008115345;-6.3588;-3.10575;-4.078407144;0.000439081;0.483988555
62.39;0.64128;0.753815;0.00789455;0.009569205;-6.36085;-3.1065;-4.079085888;0.000190076;0.483406483
62.69;0.64118;0.75424;0.0077984;0.008396732;-6.3621;-3.10715;-4.079251278;-0.000130033;0.483603603
62.99;0.64117;0.75489;0.00785925;0.008010305;-6.36285;-3.1064;-4.079668535;-0.000768149;0.484012821
63.28;0.641;0.754415;0.0077639;0.008495791;-6.36445;-3.1069;-4.07961245;0.001896755;0.483580015
63.58;0.64109;0.75411;0.00792785;0.009199625;-6.36395;-3.10695;-4.079864706;-0.001577294;0.48345238
63.88;0.64109;0.754805;0.00806245;0.007634138;-6.36365;-3.1074;-4.079672379;0.00024347;0.483897937
64.17;0.641035;0.75465;0.00769375;0.010039589;-6.36395;-3.1059;-4.079514688;0.000438605;0.483757063
64.47;0.64127;0.75372;0.0075784;0.006393913;-6.3609;-3.10735;-4.079054343;-0.000414991;0.483338024
64.77;0.641175;0.75464;0.0080128;0.00727138;-6.3622;-3.1076;-4.079283585;0.000319405;0.483856302
65.06;0.641055;0.75399;0.0080882;0.006579658;-6.36305;-3.10745;-4.079065018;0.00032649;0.483349059
65.36;0.641395;0.753805;0.00757625;0.00450265;-6.3594;-3.10855;-4.078887363;0.000050438;0.483486758
65.65;0.641215;0.75478;0.0078506;0.008261528;-6.36115;-3.1057;-4.078864797;-0.00033201;0.483976258
65.95;0.64143;0.754215;0.0081746;0.009237325;-6.35915;-3.1063;-4.078949585;0.000018741;0.483776127
66.25;0.641455;0.753925;0.007575;0.007814368;-6.3593;-3.10745;-4.079204782;0.00025688;0.483608961
66.54;0.64114;0.754475;0.0080835;0.007434337;-6.3626;-3.1065;-4.079317364;0.000521135;0.483724102
66.84;0.64117;0.75447;0.0083738;0.005603368;-6.3628;-3.10805;-4.079636476;-0.000791255;0.48374353
67.14;0.6411;0.754305;0.0075564;0.007605498;-6.36345;-3.10705;-4.079607795;0.000192708;0.483584936
67.43;0.641035;0.754235;0.00769395;0.008831236;-6.36505;-3.10685;-4.080219827;0.00031616;0.483491033
67.73;0.641105;0.754785;0.0082694;0.008918783;-6.3642;-3.1074;-4.080120441;-0.000293895;0.483896437
68.03;0.641045;0.75436;0.00773625;0.008062458;-6.3654;-3.10655;-4.080507843;0.00067155;0.483578706
68.32;0.64084;0.754795;0.00794225;0.00927376;-6.36785;-3.1092;-4.080772994;-0.00040738;0.483702828
68.62;0.64083;0.7545;0.0080409;0.007665415;-6.3678;-3.1087;-4.080677274;-0.000319215;0.483506235
68.91;0.64093;0.754575;0.0079773;0.005227585;-6.36705;-3.1092;-4.080833357;0.00047442;0.483629755
69.21;0.64081;0.754285;0.00781625;0.00653961;-6.3685;-3.10955;-4.080998485;0.000429439;0.483353371
69.51;0.64083;0.75473;0.00815095;0.006547505;-6.3683;-3.11045;-4.080997689;-0.00010842;0.483653626
69.8;0.64097;0.754955;0.0080107;0.006906725;-6.36695;-3.10885;-4.081023942;-0.0004493;0.483903506
70.1;0.64073;0.754005;0.0075692;0.007506308;-6.3695;-3.10975;-4.081129735;0.000454715;0.483113624
70.4;0.64099;0.754785;0.00794975;0.00815449;-6.3668;-3.1092;-4.081055132;0.000508268;0.483809637
