x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
0.1482;0.64078;0.0141775;0.0080414;0.008091025;-0.24077;1.37695;-0.154280601;-3.62734E-05;0.009084658
0.4446;0.6411;0.014235;0.00807875;0.00811275;-0.239425;1.3788;-0.153495368;0.000010065;0.009126059
0.741;0.640475;0.0142305;0.008073;0.008116;-0.23959;1.377;-0.153451405;4.045E-08;0.009114279
1.037;0.63732;0.014334;0.0080916;0.0081247;-0.24326;1.36695;-0.155034463;8.2239E-06;0.009135345
1.334;0.64034;0.0142115;0.00810285;0.008094275;-0.24308;1.3732;-0.155653847;-1.20834E-05;0.009100192
1.63;0.642105;0.014181;0.00811175;0.008097625;-0.242725;1.378;-0.155854936;-2.31415E-05;0.009105691
1.927;0.64227;0.014237;0.00810975;0.008160575;-0.24196;1.37845;-0.155403649;2.3481E-05;0.009143998
2.223;0.639735;0.0143285;0.0081029;0.008219125;-0.24161;1.3747;-0.154566373;-1.57356E-05;0.009166443
2.519;0.6405;0.014214;0.0080995;0.00813205;-0.24073;1.3766;-0.154187565;2.12565E-05;0.009104067
2.816;0.64239;0.0141865;0.00808165;0.00810015;-0.238185;1.3828;-0.153007662;-1.99479E-05;0.009113266
3.112;0.64058;0.0142275;0.00806345;0.0081105;-0.242435;1.3743;-0.155299012;-3.14275E-06;0.009113852
3.409;0.641525;0.014201;0.00807515;0.0081091;-0.241395;1.37895;-0.154860927;3.09587E-05;0.009110297
3.705;0.63877;0.014258;0.00807695;0.00809335;-0.24386;1.36995;-0.155770452;-9.5175E-06;0.009107583
4.002;0.637425;0.014365;0.0080764;0.008132875;-0.242655;1.36815;-0.154674363;-1.37343E-05;0.00915661
4.298;0.64353;0.0143425;0.0080886;0.008252875;-0.24438;1.3801;-0.157265861;-1.36607E-05;0.009229829
4.594;0.64416;0.014376;0.0080865;0.00826475;-0.2461;1.3782;-0.158527776;7.3381E-06;0.009260444
4.891;0.642355;0.0143515;0.00808255;0.008179975;-0.246955;1.37375;-0.158632779;-2.0445E-06;0.009218758
5.187;0.639985;0.014296;0.00809335;0.00813555;-0.247485;1.3696;-0.158386688;1.51978E-05;0.009149226
5.484;0.64316;0.0143425;0.0080883;0.00827845;-0.246695;1.37715;-0.158664356;8.32105E-06;0.009224522
5.78;0.64146;0.014327;0.0080774;0.008215175;-0.24501;1.3752;-0.157164115;-1.29956E-05;0.009190197
6.076;0.64174;0.014263;0.0080777;0.0081757;-0.24362;1.377;-0.156340699;-4.45168E-06;0.009153138
6.373;0.64022;0.0143565;0.00808505;0.008212225;-0.244655;1.3728;-0.156633024;1.01533E-05;0.009191318
6.669;0.640685;0.0142895;0.0080836;0.00815425;-0.242825;1.3752;-0.155574335;6.9096E-06;0.009155068
6.966;0.642765;0.0142295;0.0080864;0.0081604;-0.23982;1.3819;-0.154147902;-8.88575E-06;0.009146225
7.262;0.641265;0.014123;0.0080879;0.0080346;-0.23974;1.3787;-0.153736871;0.000020692;0.009056586
7.558;0.64107;0.014195;0.00807705;0.00813865;-0.23774;1.38085;-0.152407982;1.15E-07;0.009099989
7.855;0.64223;0.0141775;0.00807155;0.008111675;-0.237825;1.3831;-0.15273835;-2.44362E-05;0.009105216
8.151;0.640895;0.0141775;0.0080789;0.00810425;-0.23824;1.38005;-0.152686825;1.6485E-07;0.009086289
8.448;0.63986;0.0142205;0.00807815;0.0081098;-0.239675;1.37645;-0.153358446;-2.27425E-06;0.009099129
8.744;0.64145;0.0142765;0.0080995;0.008189075;-0.24018;1.38015;-0.154063461;1.05882E-05;0.009157661
9.04;0.640385;0.014298;0.0080945;0.008168825;-0.240485;1.3766;-0.154002987;7.4955E-06;0.009156225
9.337;0.641155;0.0141635;0.008082;0.0080651;-0.237665;1.3804;-0.152380103;-1.83432E-05;0.009080999
9.633;0.642195;0.014262;0.0080866;0.008198675;-0.23794;1.38305;-0.152803878;-7.3988E-06;0.009158985
9.93;0.64103;0.014317;0.00807645;0.0082402;-0.23716;1.38065;-0.152026675;3.07726E-05;0.009177627
10.23;0.64288;0.014307;0.0080869;0.0082281;-0.235475;1.386;-0.151382168;1.2993E-06;0.009197684
10.52;0.64216;0.0142075;0.00808965;0.008151925;-0.239125;1.3828;-0.15355651;-2.70655E-05;0.009123488
10.82;0.64301;0.0141825;0.0080985;0.0081363;-0.2382;1.38375;-0.153164982;0.000005524;0.009119489
11.12;0.64204;0.014298;0.00809605;0.008233225;-0.23815;1.3799;-0.152901826;-3.5659E-06;0.009179888
11.41;0.64385;0.0142475;0.0081062;0.0082361;-0.234095;1.38885;-0.150722066;1.55729E-05;0.009173253
11.71;0.6409;0.014236;0.00810475;0.008183775;-0.23202;1.3848;-0.148701618;-2.61649E-05;0.009123852
12;0.640275;0.0143275;0.00810765;0.008240375;-0.2348;1.382;-0.15033657;8.7278E-06;0.00917354
12.3;0.63943;0.014346;0.0081195;0.008240475;-0.23626;1.37805;-0.151071732;0.000007134;0.009173263
12.6;0.637035;0.01426;0.0081192;0.00816365;-0.23703;1.3742;-0.150996406;-6.07495E-06;0.009084119
12.89;0.63627;0.014324;0.0081074;0.00814435;-0.23837;1.36955;-0.15166768;-1.33521E-06;0.009113931
13.19;0.63616;0.0142425;0.0081169;0.008100725;-0.24184;1.36745;-0.153848934;-3.11445E-06;0.009060509
13.49;0.63566;0.014291;0.0081192;0.008094975;-0.242955;1.36385;-0.154436775;-9.29245E-06;0.009084217
13.78;0.63841;0.014239;0.0081222;0.0080898;-0.24204;1.37175;-0.154520756;-6.61158E-06;0.00909032
14.08;0.639515;0.0141655;0.0081221;0.00805635;-0.2411;1.3742;-0.154187067;4.29845E-06;0.00905905
14.38;0.63667;0.014281;0.00811585;0.0081226;-0.240605;1.36845;-0.153185985;0.000008424;0.009092284
14.67;0.637225;0.014227;0.0081204;0.0080798;-0.239215;1.3704;-0.152433778;-1.75299E-05;0.0090658
14.97;0.637275;0.0142225;0.0081295;0.008082175;-0.23901;1.37125;-0.152315098;1.64399E-05;0.009063644
15.27;0.635975;0.014295;0.0081112;0.008125575;-0.239965;1.3666;-0.152611741;-5.85615E-06;0.009091263
15.56;0.6381;0.0142155;0.008105;0.008077825;-0.24328;1.36895;-0.155236968;-3.9395E-06;0.009070911
15.86;0.63629;0.0143295;0.00810995;0.00813555;-0.244425;1.3619;-0.155525183;3.34545E-06;0.009117718
16.15;0.63839;0.014321;0.00811225;0.0081424;-0.24491;1.369;-0.156348095;-1.52971E-05;0.009142383
16.45;0.6375;0.0143605;0.0081038;0.0081207;-0.248435;1.3626;-0.158377313;2.71825E-06;0.009154819
16.75;0.636885;0.0143515;0.00811205;0.008093575;-0.248615;1.36095;-0.158339164;1.00861E-05;0.009140255
17.04;0.63806;0.014328;0.008113;0.0081358;-0.24689;1.3647;-0.157530633;-9.46335E-06;0.009142124
17.34;0.63483;0.0144055;0.00811065;0.00814385;-0.24577;1.3602;-0.156022169;-1.97024E-05;0.009145044
17.64;0.63894;0.01432;0.00810135;0.00816005;-0.243405;1.3685;-0.155521191;-7.5395E-07;0.009149621
17.93;0.641405;0.014245;0.00809845;0.00817005;-0.241125;1.37875;-0.154658781;8.46145E-06;0.009136814
18.23;0.641105;0.014289;0.0081043;0.008185875;-0.239645;1.3785;-0.153637608;-1.02803E-05;0.009160749
18.53;0.638675;0.0142855;0.00810415;0.00812485;-0.238905;1.3734;-0.152582651;-2.09111E-05;0.009123792
18.82;0.63948;0.014268;0.00809545;0.008159425;-0.236715;1.37745;-0.151374508;-1.13188E-05;0.009124101
19.12;0.638335;0.0142055;0.00809815;0.0080871;-0.239265;1.37255;-0.152731224;-6.4153E-06;0.009067868
19.41;0.637905;0.0141635;0.0080777;0.008017725;-0.24037;1.37125;-0.153333225;6.393E-06;0.009034967
19.71;0.637835;0.0141645;0.0080816;0.0080444;-0.241645;1.3702;-0.154129639;1.57011E-06;0.009034614
20.01;0.64042;0.014106;0.0080882;0.008066125;-0.237795;1.37885;-0.152288674;-2.70799E-05;0.009033765
20.3;0.64113;0.014266;0.00808645;0.008159275;-0.236455;1.38125;-0.151598394;1.87172E-05;0.009146361
20.6;0.64144;0.0143465;0.0080742;0.00825605;-0.236365;1.38265;-0.151613966;-6.22955E-06;0.009202419
20.9;0.64084;0.0142835;0.00809025;0.008180525;-0.237715;1.38;-0.152337281;-1.14721E-05;0.009153438
21.19;0.641565;0.014223;0.00809295;0.008188425;-0.238085;1.3811;-0.152747003;4.8222E-06;0.009124979
21.49;0.639505;0.014262;0.00808585;0.00812715;-0.2383;1.37685;-0.152394042;1.52454E-05;0.00912062
21.79;0.63726;0.014272;0.0080908;0.0080962;-0.240845;1.3688;-0.153480885;-2.60267E-05;0.009094975
22.08;0.63788;0.014293;0.00809045;0.008145225;-0.241325;1.3704;-0.153936391;-2.50891E-06;0.009117219
