x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
0.1482;0.60144;0.00816965;0.00460455;0.0045232;-0.154105;1.3678;-0.092684911;-2.99418E-05;0.004913554
0.4446;0.60363;0.00818135;0.0046175;0.00455735;-0.15158;1.37475;-0.091498235;-1.00242E-05;0.004938508
0.741;0.60378;0.00818405;0.0046181;0.004576425;-0.1503535;1.37775;-0.090780436;7.59814E-06;0.004941366
1.037;0.604865;0.00821955;0.00462585;0.00461525;-0.153065;1.37655;-0.092583661;-7.5629E-06;0.004971718
1.334;0.605425;0.0082308;0.00462605;0.00464145;-0.15451;1.37675;-0.093544217;4.66891E-06;0.004983132
1.63;0.60761;0.00825685;0.00462065;0.00469115;-0.152535;1.38395;-0.092681791;0.000003286;0.005016945
1.927;0.60386;0.00832525;0.0046142;0.004663225;-0.156295;1.3728;-0.094380299;-8.6188E-07;0.005027285
2.223;0.6035;0.00829465;0.00460885;0.0046247;-0.158775;1.3691;-0.095820713;-6.6426E-06;0.005005821
2.519;0.59791;0.00834995;0.00460085;0.00459325;-0.158975;1.35745;-0.095052742;4.7937E-06;0.004992519
2.816;0.60307;0.00834235;0.0046012;0.0046318;-0.16263;1.36495;-0.098077274;-9.4729E-06;0.005031021
3.112;0.600465;0.00834515;0.0046029;0.004626175;-0.164955;1.35785;-0.099049704;-5.865E-08;0.00501097
3.409;0.600735;0.00835495;0.0046085;0.004639525;-0.1626;1.3618;-0.097679511;-2.81595E-06;0.005019111
3.705;0.60241;0.0083963;0.0046003;0.00470305;-0.161945;1.3651;-0.097557287;2.30028E-06;0.005058015
4.002;0.597145;0.00846765;0.00460315;0.0047053;-0.158565;1.35535;-0.094686297;-1.36902E-06;0.005056415
4.298;0.60152;0.00835225;0.0046056;0.004654725;-0.159185;1.36515;-0.095752961;-4.13339E-06;0.005024045
4.594;0.603145;0.00831415;0.0046049;0.004636825;-0.15927;1.36845;-0.096062904;-4.4735E-07;0.005014638
4.891;0.603605;0.00834375;0.0046054;0.004660425;-0.15894;1.3681;-0.095936979;2.01877E-06;0.005036329
5.187;0.60103;0.0083968;0.0046146;0.0046978;-0.16197;1.3623;-0.097348829;-9.62095E-06;0.005046729
5.484;0.596925;0.0084052;0.00462375;0.004634225;-0.16145;1.3507;-0.096373541;-4.6865E-07;0.005017274
5.78;0.59623;0.0084084;0.0046241;0.00462715;-0.1626;1.3486;-0.096946998;-5.16965E-06;0.00501334
