x*;T;n;P_N;P_T;u_pot/T;h;u_pot;J_q;P_id
0.1482;0.69804;0.023735;0.013946;0.0140165;-0.334555;1.4038;-0.233532772;-0.000079578;0.016567979
0.4446;0.69941;0.023763;0.0140145;0.0140915;-0.33281;1.40935;-0.232770642;-3.08013E-05;0.01662008
0.741;0.69924;0.0238105;0.0140005;0.014112;-0.33332;1.4079;-0.233070677;5.23486E-05;0.016649254
1.037;0.697145;0.0238385;0.013985;0.014053;-0.33543;1.4028;-0.233843347;1.48556E-05;0.016618891
1.334;0.6954;0.0238895;0.014008;0.01403525;-0.336135;1.39835;-0.233748279;-4.78431E-05;0.016612758
1.63;0.696725;0.02395;0.014013;0.01418875;-0.336495;1.40115;-0.234444479;4.41789E-05;0.016686564
1.927;0.695765;0.0239055;0.013992;0.01407225;-0.33674;1.3986;-0.234291906;-1.96846E-05;0.01663261
2.223;0.69432;0.0238935;0.013999;0.01399675;-0.339055;1.3944;-0.235412668;-7.16E-06;0.016589735
2.519;0.69515;0.023799;0.014012;0.0139545;-0.337855;1.39645;-0.234859903;8.12887E-06;0.016543875
2.816;0.69182;0.0238775;0.0140205;0.013947;-0.33999;1.38725;-0.235211882;1.54142E-05;0.016518932
3.112;0.69384;0.023889;0.0140125;0.013979;-0.34058;1.3907;-0.236308027;-2.38568E-05;0.016575144
3.409;0.695895;0.023813;0.014025;0.01395425;-0.3402;1.3948;-0.236743479;2.23028E-05;0.016571348
3.705;0.69695;0.0238085;0.014;0.013976;-0.339115;1.4;-0.236346199;-3.09256E-05;0.016593334
4.002;0.69516;0.0239345;0.013982;0.01397275;-0.33923;1.39425;-0.235819127;-9.88052E-06;0.016638307
4.298;0.69353;0.023937;0.01397;0.0139205;-0.342595;1.38795;-0.23759991;2.29036E-05;0.016601028
4.594;0.694295;0.023985;0.0139765;0.014007;-0.343675;1.38935;-0.238611834;1.59784E-05;0.016652666
4.891;0.69368;0.0239575;0.0140045;0.0139595;-0.343265;1.3879;-0.238116065;8.17685E-06;0.016618839
5.187;0.69345;0.0240145;0.0140025;0.0140095;-0.344125;1.3875;-0.238633481;-9.2102E-06;0.016652855
5.484;0.69319;0.0240965;0.0140005;0.0140305;-0.34497;1.38465;-0.239129754;1.98072E-05;0.016703453
5.78;0.69335;0.0241185;0.0139975;0.0140685;-0.34302;1.38885;-0.237832917;-2.81395E-06;0.016722562
6.076;0.691245;0.0242045;0.0139925;0.01411875;-0.342605;1.3836;-0.236823993;-4.9801E-05;0.01673124
6.373;0.69139;0.0241525;0.0139755;0.0141045;-0.3428;1.3838;-0.237008492;4.97173E-05;0.016698797
6.669;0.69194;0.024042;0.0139815;0.01401975;-0.340795;1.3871;-0.235809692;2.04495E-06;0.016635621
6.966;0.69416;0.023966;0.0139625;0.014001;-0.33868;1.39265;-0.235098109;8.57965E-06;0.016636239
7.262;0.694595;0.0238495;0.01395;0.0138885;-0.338825;1.39365;-0.235346151;1.64556E-05;0.016565743
7.558;0.693425;0.0239195;0.013945;0.01394725;-0.338765;1.39105;-0.23490812;-9.72215E-06;0.016586379
7.855;0.69674;0.0239175;0.013951;0.014088;-0.3372;1.3987;-0.234940728;1.31947E-05;0.016664279
8.151;0.696945;0.0239375;0.0139525;0.0140115;-0.338635;1.3984;-0.23600997;-1.28878E-05;0.016683121
8.448;0.69741;0.02393;0.013985;0.01406875;-0.33896;1.4001;-0.236394094;2.4024E-06;0.016689021
8.744;0.69525;0.024017;0.014009;0.01410575;-0.341125;1.394;-0.237167156;7.8923E-06;0.016697819
9.04;0.69333;0.024007;0.01402;0.01403;-0.34384;1.3875;-0.238394587;-3.34227E-05;0.016644773
9.337;0.69381;0.023999;0.014005;0.0140505;-0.34415;1.38925;-0.238774712;1.91865E-05;0.016650746
9.633;0.691695;0.0239365;0.013999;0.01396075;-0.342595;1.3856;-0.236971249;1.48876E-05;0.016556757
9.93;0.69408;0.023948;0.013982;0.014055;-0.343545;1.3898;-0.238447714;-4.62973E-05;0.016621828
10.23;0.693175;0.02397;0.01397;0.0139315;-0.34856;1.38225;-0.241613078;3.88435E-05;0.016615405
10.52;0.69399;0.02401;0.0139595;0.013885;-0.34739;1.3852;-0.241085186;3.06002E-05;0.0166627
10.82;0.69109;0.0240375;0.0139605;0.01386375;-0.348075;1.37995;-0.240551152;-1.31975E-05;0.016612076
11.12;0.68941;0.024058;0.013947;0.01383125;-0.350215;1.3727;-0.241441723;0.000004487;0.016585826
11.41;0.68975;0.0241275;0.0139555;0.0139505;-0.349835;1.37475;-0.241298691;2.26461E-05;0.016641943
11.71;0.69267;0.0240515;0.013946;0.013938;-0.34574;1.38395;-0.239483726;-0.000050519;0.016659753
12;0.6896;0.0240675;0.0139335;0.01385925;-0.347775;1.37605;-0.23982564;8.38796E-06;0.016596948
12.3;0.68973;0.0242125;0.0139695;0.01404125;-0.348775;1.3755;-0.240560581;1.98136E-05;0.016700088
12.6;0.69295;0.0241165;0.013987;0.01408025;-0.349585;1.38165;-0.242244926;-0.000019833;0.016711529
